TicType,Industry,Sector,Ticker,Name,id,parent,mktCap,Brokers,ret_1M,vol_1M,ret_3M,vol_3M,ret_6M,vol_6M,ret_1Y,vol_1Y,ret_2Y,vol_2Y,ret_3Y,vol_3Y,ret_5Y,vol_5Y
mkt,-,-,IDX:AXX,FTSE AIM - All Share Index (AXX),50000,,0.0,0.0,0.014625529950270666,0.025083676565438445,0.04518119614726612,0.014218665074750742,0.2534392294855339,0.010283257343240107,0.7720149409397608,0.009393869341659965,0.3185974186948497,0.0005390637268009403,0.19173489485722506,0.0003889420782297901,0.7065062619582918,0.00025083787632381095
ind,-,-,IDX:FT10,Industry - Technology (AIM),51000,50000.0,0.0,0.0,0.03546182318321134,0.03656219131824698,0.033236389640297404,0.02136268976250156,-0.002107674271124349,0.016682989797138534,0.25386270457595894,0.013817111716004315,-0.024924576117468233,0.00068947060562172,0.25933200813816426,0.000523157100076465,0.4667698356500358,0.00041444575704986767
sec,Technology,Software and Computer Services,IDX:AXX1010-GBP,Sector - Technology ,51100,51000.0,0.0,0.0,-0.002519352830490762,0.03167030753634452,-0.009892850483143478,0.016853511892043097,0.21096183989096762,0.011507085629408503,0.5052632240007926,0.010215126636820542,0.31371035339609876,0.0005805468212095829,0.33070932597637137,0.0005033972922636452,0.6689003756807539,0.00033656743770770815
stk,Technology,Software and Computer Services,LSE:ACC,Access Intelligence PLC,51101,51100.0,111.4,1.0,0.09629771267361353,0.07892803346342261,0.48889592847588426,0.043791299667711406,0.701157211655036,0.02818725430752037,1.646187849664802,0.01585190707917335,1.239192149715283,0.0005756388599938621,2.0110296493652196,0.00042706666308255016,1.6836519603888123,0.000390538631840595
stk,Technology,Software and Computer Services,LSE:BLTG,Blancco Technology Group PLC,51102,51100.0,205.6,3.0,-0.052271614695182156,0.049341217366673226,0.23063047444887008,0.03323229553115224,0.3261346994905645,0.02744163947622039,0.46216550368677156,0.020071397182917297,1.589437014181776,0.0010602119538875472,2.966171882315342,0.0008392073930591224,0.2788105422319447,0.0008310508519017442
stk,Technology,Software and Computer Services,LSE:ACSO,Accesso Technology Group PLC,51103,51100.0,274.1,3.0,0.2140443581281204,0.15133234530389683,0.441753037425219,0.07191160186049854,1.2641977254972807,0.05334291009255922,2.70744761802876,0.04135245733127564,-0.1941500663918594,0.00216683050550028,-0.7017575944041651,0.001686617496728964,-0.3073569191356029,0.001060404893465053
stk,Technology,Software and Computer Services,LSE:BOKU,Boku Inc,51104,51100.0,524.0,4.0,0.16280286940204736,0.07242919835745497,0.25941896801278963,0.04115640403696572,0.9056729032144799,0.029297257057805105,1.2191352945893126,0.019708841693863173,0.66751910172722,0.0013254811872444132,1.189513378055107,0.0011586455574493445,1.3443233870595286,0.0008719373816992149
stk,Technology,Software and Computer Services,LSE:ALT,Altitude Group PLC,51105,51100.0,28.2,,0.5378523666987025,0.20853004788175067,1.5794401565296372,0.1468561080386307,1.9586655173076286,0.0898314599398264,0.4512007020383444,0.0525399017867466,-0.6030542415961739,0.0022506700767672273,-0.4496208814381951,0.0016781160142957166,3.201223845099891,0.0014532618353695266
stk,Technology,Software and Computer Services,LSE:CALL,Cloudcall Group PLC,51106,51100.0,34.1,2.0,-0.134926971012015,0.09679578764558328,-0.3468187007525051,0.05459971282775228,-0.22051936787526905,0.03472646339151944,-0.013373567717227197,0.023275469664339934,-0.17472653350799128,0.0009253058012994132,-0.5532239362163445,0.0008463142547732713,-0.14387060127382345,0.0007313147924331035
stk,Technology,Software and Computer Services,LSE:ARC,Arcontech Group PLC,51107,51100.0,21.9,,-0.14642618298557852,0.04960957449346774,-0.14217249402881904,0.0651543069968371,-0.00899697261676724,0.04446522200837379,0.12356288034760987,0.031423114557186396,0.2925502205121928,0.001362976636918902,1.5073291096479267,0.0011344509068424297,3.075615188428408,0.0008604516340284951
stk,Technology,Software and Computer Services,LSE:CER,Cerillion PLC,51108,51100.0,135.8,3.0,0.1621610722367619,0.1214130733790714,0.156602899723558,0.04983851342721731,0.568807754304566,0.032276563141914114,1.5539188521140566,0.025880568927233054,1.8518027638102863,0.0010705121402784525,2.408481326744678,0.0007909728278284293,4.624279280550975,0.0006032756123092179
stk,Technology,Software and Computer Services,LSE:ATQT,Attraqt Group Ltd,51109,51100.0,90.2,1.0,-2.461655255414641e-05,0.02812396612065466,0.19732512775168431,0.025463798610626413,0.2815436536693161,0.0185592720163744,0.6248282536748091,0.016932719086494442,0.6843090591916727,0.0007553641848863162,0.49210396095692,0.0006287101785595323,0.2993701435374889,0.0005628200674445424
stk,Technology,Technology Hardware and Equipment,LSE:CNC,Concurrent Technologies PLC,51110,51100.0,72.3,1.0,0.02602393873727915,0.07553386906212384,-0.1283733255865288,0.036611285963765804,-0.02488759351684311,0.039022028650494325,0.11836465574568322,0.02881403454705216,0.4143179743600667,0.0013932422004004443,0.17710096432234113,0.0009635480502287008,0.40390922470642465,0.000654524216862791
stk,Technology,Software and Computer Services,LSE:BBSN,Brave Bison Group PLC,51111,51100.0,8.9,1.0,0.0001293892996814261,0.1842262035410442,0.41327365697272267,0.09897135849116805,0.25916173715419966,0.05534222216613383,0.7038924738193983,0.045924212541906734,-0.37608414003934265,0.0019728893240954447,1.0727516086428142,0.005063767320337741,-0.648901679054906,0.0031133873611808257
