,id,Change,Close,Date,DollarVolume,mktCap,DollarVolume_wt
17239,53111,-0.0161,30.5,2020-09-25,6.8,108.0,0.063
17928,53111,0.06559,32.5,2020-10-02,13.3,106.6,0.125
18617,53111,0.12001,36.4,2020-10-09,23.7,122.2,0.194
19308,53111,0.01658,37.0,2020-10-16,16.1,127.9,0.126
19999,53111,-3e-05,37.0,2020-10-23,32.7,132.1,0.247
20690,53111,-0.17564,30.5,2020-10-30,134.7,117.7,1.144
21381,53111,-0.01637,30.0,2020-11-06,40.9,105.2,0.389
22072,53111,0.0167,30.5,2020-11-13,63.5,106.6,0.596
22763,53111,-0.01639,30.0,2020-11-20,23.2,103.8,0.223
23454,53111,0.01666,30.5,2020-11-27,18.5,106.9,0.173
24145,53111,0.09828,33.5,2020-12-04,24.0,116.0,0.207
24837,53111,0.01495,34.0,2020-12-11,38.5,114.2,0.337
25530,53111,0.07059,36.4,2020-12-18,26.0,125.0,0.208
26223,53111,-0.02462,35.5,2020-12-24,10.9,125.8,0.087
26916,53111,0.0141,36.0,2020-12-31,6.2,125.2,0.049
27609,53111,0.31924,47.5,2021-01-08,114.4,147.8,0.774
28302,53111,-0.07373,44.0,2021-01-15,59.1,152.3,0.388
28995,53111,-0.02276,43.0,2021-01-22,35.3,150.2,0.235
29688,53111,-0.04656,41.0,2021-01-29,48.9,142.2,0.344
30381,53111,0.02432,42.0,2021-02-05,53.7,152.7,0.352
31074,53111,0.02377,43.0,2021-02-12,19.8,151.3,0.131
31767,53111,-0.03496,41.5,2021-02-19,23.5,146.1,0.161
32460,53111,-0.02405,40.5,2021-02-26,19.3,142.9,0.135
33153,53111,-0.02475,39.5,2021-03-05,31.4,141.9,0.221
33846,53111,-0.0126,39.0,2021-03-12,22.1,135.6,0.163
34539,53111,0.06411,41.5,2021-03-19,35.5,144.3,0.246
35232,53111,-0.03606,40.0,2021-03-26,27.5,141.5,0.194
35925,53111,-0.0125,39.5,2021-04-01,19.0,139.3,0.136
92,57105,-0.02244,69.5,2020-04-03,6.1,118.6,0.052
777,57105,0.05611,73.4,2020-04-09,12.0,123.5,0.097
1462,57105,0.00133,73.5,2020-04-17,8.1,123.2,0.066
2147,57105,-0.00548,73.1,2020-04-24,4.8,123.1,0.039
2832,57105,0.07259,78.4,2020-05-01,29.0,129.8,0.223
3517,57105,-0.03825,75.4,2020-05-07,9.3,130.9,0.071
4202,57105,0.02786,77.5,2020-05-15,7.6,130.8,0.058
4887,57105,-0.01169,76.6,2020-05-22,12.4,128.8,0.096
5572,57105,0.00389,76.9,2020-05-29,71.0,130.3,0.545
6257,57105,0.01689,78.2,2020-06-05,41.3,131.6,0.314
6942,57105,0.01671,79.5,2020-06-12,131.1,135.6,0.967
7627,57105,0.00376,79.8,2020-06-19,135.1,134.7,1.003
8312,57105,0.09029,87.0,2020-06-26,297.9,143.8,2.072
8997,57105,7e-05,87.0,2020-07-03,186.6,147.5,1.265
9682,57105,-0.0046,86.6,2020-07-10,68.0,147.0,0.463
10368,57105,0.01029,87.5,2020-07-17,134.9,147.7,0.913
11054,57105,-0.01716,86.0,2020-07-24,57.0,147.0,0.387
11741,57105,-0.01166,85.0,2020-07-31,5.1,145.0,0.035
12428,57105,0.03765,88.2,2020-08-07,1.5,147.0,0.01
13115,57105,0.03154,91.0,2020-08-14,76.1,153.4,0.496
13802,57105,0.01765,92.6,2020-08-21,18.5,156.2,0.119
14489,57105,-0.01186,91.5,2020-08-28,28.3,155.0,0.183
15176,57105,-0.00435,91.1,2020-09-04,38.9,155.1,0.25
15864,57105,0.0199,92.9,2020-09-11,36.5,156.1,0.234
16552,57105,-0.00325,92.6,2020-09-18,53.3,157.1,0.339
17240,57105,0.00115,92.7,2020-09-25,30.8,159.9,0.193
17929,57105,-0.0346,89.5,2020-10-02,10.1,154.6,0.065
18618,57105,0.01793,91.1,2020-10-09,12.9,153.7,0.084
19309,57105,-0.05278,86.3,2020-10-16,20.8,149.0,0.14
20000,57105,0.00807,87.0,2020-10-23,6.8,146.7,0.047
20691,57105,0.06366,92.5,2020-10-30,267.2,154.4,1.731
21382,57105,-0.01622,91.0,2020-11-06,34.7,154.5,0.225
22073,57105,0.01542,92.4,2020-11-13,56.2,155.8,0.361
22764,57105,0.10116,101.75,2020-11-20,269.9,164.9,1.637
23455,57105,0.04914,106.75,2020-11-27,216.8,176.9,1.225
24146,57105,0.19437,127.5,2020-12-04,267.4,202.9,1.318
24838,57105,0.00976,128.75,2020-12-11,216.6,220.5,0.982
25531,57105,0.11456,143.5,2020-12-18,91.2,228.8,0.398
26224,57105,-0.02794,139.5,2020-12-24,81.4,235.3,0.346
26917,57105,0.00355,140.0,2020-12-31,58.6,237.9,0.246
27610,57105,0.15,161.0,2021-01-08,183.3,270.3,0.678
28303,57105,-0.12725,140.5,2021-01-15,100.5,248.2,0.405
28996,57105,0.00885,141.75,2021-01-22,53.5,242.3,0.221
29689,57105,-0.01234,140.0,2021-01-29,95.4,234.6,0.407
30382,57105,-0.00353,139.5,2021-02-05,41.4,238.3,0.174
31075,57105,0.02511,143.0,2021-02-12,45.9,243.4,0.189
31768,57105,0.00177,143.25,2021-02-19,19.1,242.5,0.079
32461,57105,-0.02266,140.0,2021-02-26,47.8,239.6,0.199
33154,57105,0.02499,143.5,2021-03-05,67.0,240.4,0.279
33847,57105,0.00696,144.5,2021-03-12,45.7,243.6,0.188
34540,57105,0.1626,168.0,2021-03-19,116.6,277.4,0.421
35233,57105,-0.04759,160.0,2021-03-26,181.3,270.9,0.669
35926,57105,0.00315,160.5,2021-04-01,278.1,275.4,1.01
93,55206,-0.01619,121.0,2020-04-03,2.2,20.2,0.107
778,55206,0.08681,131.5,2020-04-09,11.0,22.0,0.502
1463,55206,0.0266,135.0,2020-04-17,5.5,23.3,0.235
2148,55206,0.03696,140.0,2020-04-24,21.8,23.6,0.925
2833,55206,0.01785,142.5,2020-05-01,17.9,24.0,0.745
3518,55206,-0.035,137.5,2020-05-07,8.2,24.4,0.334
4203,55206,-0.05458,130.0,2020-05-15,3.3,23.0,0.143
4888,55206,-0.05769,122.5,2020-05-22,11.5,21.1,0.547
5573,55206,0.0204,125.0,2020-05-29,8.1,21.4,0.376
6258,55206,0.0,125.0,2020-06-05,8.4,21.5,0.391
6943,55206,-0.072,116.0,2020-06-12,5.2,20.9,0.25
7628,55206,0.04738,121.5,2020-06-19,2.3,20.6,0.113
8313,55206,0.02877,125.0,2020-06-26,2.8,21.3,0.133
8998,55206,-0.02,122.5,2020-07-03,2.8,21.3,0.132
9683,55206,-0.0408,117.5,2020-07-10,7.0,20.8,0.335
10369,55206,-0.02125,115.0,2020-07-17,397.9,19.5,20.438
11055,55206,0.0217,117.5,2020-07-24,8.5,20.1,0.421
11742,55206,-0.0128,116.0,2020-07-31,108.3,20.1,5.374
12429,55206,0.06032,123.0,2020-08-07,20.8,21.1,0.985
13116,55206,0.06504,131.0,2020-08-14,12.2,22.4,0.542
13803,55206,0.0191,133.5,2020-08-21,7.7,23.0,0.334
14490,55206,0.0112,135.0,2020-08-28,19.3,23.1,0.835
15177,55206,-2e-05,135.0,2020-09-04,9.7,23.2,0.416
15865,55206,0.0,135.0,2020-09-11,1.6,23.3,0.069
16553,55206,-0.03705,130.0,2020-09-18,3.8,23.0,0.165
17241,55206,-0.07684,120.0,2020-09-25,10.7,20.6,0.521
17930,55206,0.03332,124.0,2020-10-02,455.6,21.1,21.549
18619,55206,0.0484,130.0,2020-10-09,288.9,22.4,12.896
19310,55206,-0.07694,120.0,2020-10-16,6.2,21.3,0.293
20001,55206,-2e-05,120.0,2020-10-23,11.8,20.4,0.581
20692,55206,-0.02077,117.5,2020-10-30,10.8,20.8,0.517
21383,55206,-0.0213,115.0,2020-11-06,14.1,19.9,0.709
22074,55206,0.08699,125.0,2020-11-13,8.2,21.1,0.388
22765,55206,0.11196,139.0,2020-11-20,47.7,22.4,2.133
23456,55206,0.06115,147.5,2020-11-27,27.4,24.4,1.123
24147,55206,0.01706,150.0,2020-12-04,37.6,25.8,1.455
24839,55206,8e-05,150.0,2020-12-11,39.4,24.8,1.588
25532,55206,-0.0333,145.0,2020-12-18,7.9,25.5,0.309
26225,55206,-0.01722,142.5,2020-12-24,13.5,24.2,0.559
26918,55206,0.0,142.5,2020-12-31,8.6,24.6,0.351
27611,55206,-0.0175,140.0,2021-01-08,17.2,24.2,0.709
28304,55206,0.0,140.0,2021-01-15,11.4,24.1,0.475
28997,55206,-0.0179,137.5,2021-01-22,10.1,24.0,0.424
29690,55206,-0.01824,135.0,2021-01-29,4.7,23.4,0.2
30383,55206,-0.04447,129.0,2021-02-05,24.1,21.7,1.113
31076,55206,0.08531,140.0,2021-02-12,16.4,23.9,0.687
31769,55206,0.05353,147.5,2021-02-19,12.7,24.7,0.514
32462,55206,-0.05077,140.0,2021-02-26,14.4,24.7,0.583
33155,55206,0.0,140.0,2021-03-05,2.6,24.1,0.109
33848,55206,0.1963,167.5,2021-03-12,1308.3,27.7,47.305
34541,55206,1e-05,167.5,2021-03-19,26.6,28.3,0.943
35234,55206,0.07468,180.0,2021-03-26,110.3,30.8,3.575
35927,55206,-0.0139,177.5,2021-04-01,12.4,30.8,0.403
94,55402,-0.0278,17.5,2020-04-03,2.0,24.0,0.083
779,55402,0.28561,22.5,2020-04-09,9.6,28.4,0.337
1464,55402,-0.03341,21.75,2020-04-17,3.6,30.1,0.119
2149,55402,0.10117,23.95,2020-04-24,9.6,32.7,0.293
2834,55402,-0.02932,23.25,2020-05-01,2.0,32.5,0.06
3519,55402,-0.06455,21.75,2020-05-07,4.8,31.0,0.156
4204,55402,0.0229,22.25,2020-05-15,12.6,29.7,0.424
4889,55402,-0.08994,20.25,2020-05-22,3.8,28.9,0.132
5574,55402,0.0,20.25,2020-05-29,3.8,27.7,0.138
6259,55402,0.037,21.0,2020-06-05,5.4,28.1,0.193
6944,55402,0.0,21.0,2020-06-12,5.9,28.8,0.206
7629,55402,1e-05,21.0,2020-06-19,6.3,28.8,0.218
8314,55402,0.0,21.0,2020-06-26,5.7,28.8,0.199
8999,55402,0.0,21.0,2020-07-03,2.2,28.8,0.078
9684,55402,0.0,21.0,2020-07-10,2.2,28.8,0.078
10370,55402,0.0119,21.25,2020-07-17,3.1,29.0,0.108
11056,55402,0.03537,22.0,2020-07-24,1.2,29.8,0.04
11743,55402,0.0,22.0,2020-07-31,8.3,30.1,0.276
12430,55402,0.0,22.0,2020-08-07,4.9,30.1,0.164
13117,55402,0.0227,22.5,2020-08-14,5.3,30.7,0.174
13804,55402,0.0111,22.75,2020-08-21,2.0,31.0,0.064
14491,55402,0.0,22.75,2020-08-28,4.9,31.2,0.158
15178,55402,0.0,22.75,2020-09-04,1.8,31.2,0.059
15866,55402,0.0,22.75,2020-09-11,1.4,31.2,0.044
16554,55402,-0.011,22.5,2020-09-18,1.6,30.9,0.051
17242,55402,-0.05553,21.25,2020-09-25,1.6,29.2,0.056
17931,55402,0.0,21.25,2020-10-02,5.4,29.1,0.185
18620,55402,-0.0353,20.5,2020-10-09,4.7,28.3,0.166
19311,55402,-0.09757,18.5,2020-10-16,1.2,26.7,0.045
20002,55402,0.0135,18.75,2020-10-23,7.5,25.4,0.295
20693,55402,-0.0267,18.25,2020-10-30,3.0,25.1,0.119
21384,55402,-0.06854,17.0,2020-11-06,0.9,24.4,0.038
22075,55402,0.14703,19.5,2020-11-13,1.4,24.2,0.059
22766,55402,0.15363,22.5,2020-11-20,4.6,30.8,0.151
23457,55402,-0.0222,22.0,2020-11-27,6.0,30.4,0.198
24148,55402,0.0,22.0,2020-12-04,8.1,30.1,0.267
24840,55402,0.0,22.0,2020-12-11,7.9,30.1,0.262
25533,55402,0.0,22.0,2020-12-18,2.1,30.1,0.071
26226,55402,0.0,22.0,2020-12-24,1.4,30.1,0.046
26919,55402,0.0,22.0,2020-12-31,2.0,30.1,0.065
27612,55402,0.0,22.0,2021-01-08,2.6,30.1,0.085
28305,55402,0.0,22.0,2021-01-15,0.8,30.1,0.026
28998,55402,-0.04544,21.0,2021-01-22,1.4,30.3,0.045
29691,55402,-7e-05,21.0,2021-01-29,0.6,29.0,0.022
30384,55402,0.0,21.0,2021-02-05,1.9,28.8,0.067
31077,55402,-0.0238,20.5,2021-02-12,0.9,28.2,0.031
31770,55402,0.0,20.5,2021-02-19,1.9,28.1,0.068
32463,55402,0.0244,21.0,2021-02-26,0.1,28.3,0.004
33156,55402,0.262,26.5,2021-03-05,9.0,33.3,0.271
33849,55402,-0.0377,25.5,2021-03-12,5.9,35.5,0.166
34542,55402,0.0,25.5,2021-03-19,10.5,34.9,0.3
35235,55402,0.0196,26.0,2021-03-26,3.6,35.2,0.102
35928,55402,0.0,26.0,2021-04-01,2.5,35.6,0.069
95,52105,0.2461,86.0,2020-04-03,35.2,47.4,0.742
780,52105,0.02907,88.5,2020-04-09,35.2,50.6,0.696
1465,52105,0.1809,104.5,2020-04-17,75.1,59.5,1.263
2150,52105,-0.06705,97.5,2020-04-24,18.3,56.5,0.324
2835,52105,-0.07692,90.0,2020-05-01,34.6,51.9,0.667
3520,52105,0.14998,103.5,2020-05-07,37.7,56.5,0.667
4205,52105,-0.0483,98.5,2020-05-15,21.6,59.0,0.366
4890,52105,-0.07105,91.5,2020-05-22,15.7,54.4,0.289
5575,52105,0.0,91.5,2020-05-29,8.4,52.7,0.159
6260,52105,0.0,91.5,2020-06-05,9.6,52.7,0.182
6945,52105,-0.00552,91.0,2020-06-12,426.4,52.8,8.083
7630,52105,0.10405,100.5,2020-06-19,31.2,56.4,0.553
8315,52105,-0.01991,98.5,2020-06-26,103.2,56.6,1.822
9000,52105,-0.0305,95.5,2020-07-03,9.8,55.6,0.176
9685,52105,-0.00525,95.0,2020-07-10,12.9,54.1,0.238
10371,52105,0.01058,96.0,2020-07-17,33.5,53.6,0.624
11057,52105,-0.01564,94.5,2020-07-24,159.7,54.7,2.92
11744,52105,0.02124,96.5,2020-07-31,40.4,53.8,0.75
12431,52105,0.01548,98.0,2020-08-07,37.5,56.4,0.664
13118,52105,0.06115,104.0,2020-08-14,164.8,59.8,2.755
13805,52105,-0.0231,101.6,2020-08-21,58.7,58.4,1.005
14492,52105,-0.08463,93.0,2020-08-28,59.3,56.7,1.045
15179,52105,-0.04291,89.0,2020-09-04,23.6,53.1,0.445
15867,52105,1e-05,89.0,2020-09-11,23.8,52.5,0.453
16555,52105,-0.02923,86.4,2020-09-18,23.0,49.6,0.463
17243,52105,0.0127,87.5,2020-09-25,94.2,50.4,1.869
17932,52105,-0.0229,85.5,2020-10-02,14.1,49.8,0.284
18621,52105,-0.05844,80.5,2020-10-09,44.8,48.0,0.932
19312,52105,0.21752,98.0,2020-10-16,115.0,51.0,2.254
20003,52105,0.0714,105.0,2020-10-23,86.4,58.0,1.49
20694,52105,0.04764,110.0,2020-10-30,123.0,61.4,2.001
21385,52105,-0.07052,102.25,2020-11-06,37.4,59.2,0.632
22076,52105,0.00243,102.5,2020-11-13,32.6,59.3,0.549
22767,52105,-0.01941,100.5,2020-11-20,38.4,58.7,0.654
23458,52105,-0.0,100.5,2020-11-27,26.6,57.8,0.461
24149,52105,-0.00497,100.0,2020-12-04,47.4,57.8,0.82
24841,52105,-0.05005,95.0,2020-12-11,29.4,57.9,0.507
25534,52105,-0.01573,93.5,2020-12-18,24.7,54.4,0.454
26227,52105,-0.01065,92.5,2020-12-24,33.4,53.1,0.629
26920,52105,0.0108,93.5,2020-12-31,8.3,53.8,0.153
27613,52105,0.13929,106.5,2021-01-08,595.8,54.8,10.875
28306,52105,0.07969,115.0,2021-01-15,174.0,66.1,2.632
28999,52105,0.0652,122.5,2021-01-22,99.8,70.7,1.412
29692,52105,-0.143,105.0,2021-01-29,51.9,65.9,0.788
30385,52105,0.03338,108.5,2021-02-05,29.5,63.1,0.467
31078,52105,0.01373,110.0,2021-02-12,47.8,62.0,0.771
31771,52105,0.04553,115.0,2021-02-19,43.4,66.8,0.65
32464,52105,-0.03041,111.5,2021-02-26,19.5,64.4,0.303
33157,52105,-0.07625,103.0,2021-03-05,24.4,59.7,0.408
33850,52105,0.0097,104.0,2021-03-12,23.2,59.9,0.387
34543,52105,-0.04325,99.5,2021-03-19,16.8,59.1,0.284
35236,52105,-0.0201,97.5,2021-03-26,335.1,56.2,5.967
35929,52105,0.04106,101.5,2021-04-01,43.9,59.8,0.733
96,51111,-0.14703,0.72,2020-04-03,13.1,4.6,2.848
781,51111,0.20632,0.88,2020-04-09,9.6,5.0,1.912
1466,51111,0.11434,0.98,2020-04-17,55.7,5.8,9.564
2151,51111,-0.0771,0.9,2020-04-24,14.7,5.7,2.583
2836,51111,0.38895,1.25,2020-05-01,25.1,6.9,3.657
3521,51111,0.03998,1.3,2020-05-07,21.9,8.2,2.682
4206,51111,-0.11535,1.15,2020-05-15,7.0,7.5,0.943
4891,51111,0.17348,1.35,2020-05-22,7.9,7.7,1.027
5576,51111,-0.07408,1.25,2020-05-29,3.9,7.7,0.51
6261,51111,0.02001,1.27,2020-06-05,6.9,7.4,0.927
6946,51111,0.01966,1.3,2020-06-12,9.5,8.1,1.175
7631,51111,0.05768,1.38,2020-06-19,9.0,8.3,1.091
8316,51111,-0.0181,1.35,2020-06-26,14.1,8.5,1.66
9001,51111,-0.09251,1.23,2020-07-03,75.6,7.8,9.723
9686,51111,0.10203,1.35,2020-07-10,6.2,7.9,0.786
10372,51111,0.01846,1.38,2020-07-17,9.4,8.4,1.119
11058,51111,-0.05411,1.3,2020-07-24,14.9,8.5,1.747
11745,51111,0.0577,1.38,2020-07-31,5.1,8.4,0.61
12432,51111,-0.12692,1.2,2020-08-07,16.7,7.8,2.135
13119,51111,-0.04166,1.15,2020-08-14,1.3,7.2,0.176
13806,51111,0.06526,1.23,2020-08-21,11.3,7.7,1.47
14493,51111,-0.0204,1.2,2020-08-28,1.8,7.4,0.248
15180,51111,0.0,1.2,2020-09-04,2.9,7.4,0.39
15868,51111,-0.02086,1.18,2020-09-11,5.0,7.2,0.696
16556,51111,0.0,1.18,2020-09-18,2.8,7.2,0.389
17244,51111,0.0213,1.2,2020-09-25,1.8,7.3,0.243
17933,51111,-0.04167,1.15,2020-10-02,2.1,7.4,0.288
18622,51111,-0.10897,1.02,2020-10-09,3.7,6.4,0.581
19313,51111,0.0,1.02,2020-10-16,2.8,6.3,0.444
20004,51111,-0.0488,0.98,2020-10-23,3.9,6.1,0.649
20695,51111,-0.07691,0.9,2020-10-30,4.0,5.6,0.725
21386,51111,0.11114,1.0,2020-11-06,9.2,6.0,1.552
22077,51111,0.0,1.0,2020-11-13,3.7,6.1,0.596
22768,51111,0.0,1.0,2020-11-20,1.6,6.1,0.266
23459,51111,-0.025,0.98,2020-11-27,0.9,6.1,0.148
24150,51111,0.0,0.98,2020-12-04,1.8,6.0,0.302
24842,51111,0.0256,1.0,2020-12-11,2.4,6.1,0.391
25535,51111,0.09998,1.1,2020-12-18,1.5,6.5,0.227
26228,51111,-0.0455,1.05,2020-12-24,0.3,6.4,0.045
26921,51111,-0.0238,1.02,2020-12-31,1.0,6.3,0.165
27614,51111,0.26788,1.3,2021-01-08,14.0,7.0,1.986
28307,51111,-0.01923,1.27,2021-01-15,21.9,8.1,2.694
29000,51111,-0.0196,1.25,2021-01-22,4.6,7.7,0.593
29693,51111,0.12,1.4,2021-01-29,14.2,8.3,1.713
30386,51111,0.01783,1.42,2021-02-05,11.1,8.8,1.268
31079,51111,0.17488,1.68,2021-02-12,12.6,9.4,1.34
31772,51111,-0.01521,1.65,2021-02-19,32.5,11.0,2.961
32465,51111,-0.1212,1.45,2021-02-26,4.7,9.5,0.499
33158,51111,0.06887,1.55,2021-03-05,3.2,9.2,0.349
33851,51111,-0.11294,1.38,2021-03-12,2.5,8.8,0.283
34544,51111,0.10907,1.52,2021-03-19,5.3,8.9,0.596
35237,51111,-0.01616,1.5,2021-03-26,11.2,9.4,1.195
35930,51111,-0.0333,1.45,2021-04-01,3.1,8.9,0.347
97,57215,-0.08333,19.8,2020-04-03,13.3,68.3,0.195
782,57215,0.23754,24.5,2020-04-09,48.3,76.5,0.631
1467,57215,-0.05108,23.25,2020-04-17,29.8,75.3,0.396
2152,57215,-0.02164,22.75,2020-04-24,35.1,75.1,0.468
2837,57215,0.05511,24.0,2020-05-01,42.3,82.4,0.514
3522,57215,-0.01043,23.75,2020-05-07,36.7,80.0,0.459
4207,57215,-0.09476,21.5,2020-05-15,53.6,75.5,0.709
4892,57215,0.00466,21.6,2020-05-22,25.9,73.8,0.351
5577,57215,0.03014,22.25,2020-05-29,35.1,73.0,0.481
6262,57215,0.15067,25.6,2020-06-05,71.2,80.9,0.88
6947,57215,-0.08205,23.5,2020-06-12,70.2,82.0,0.855
7632,57215,-0.04253,22.5,2020-06-19,73.4,76.1,0.964
8317,57215,9e-05,22.5,2020-06-26,35.8,75.0,0.477
9002,57215,-0.01098,22.25,2020-07-03,33.6,73.3,0.459
9687,57215,-0.04495,21.25,2020-07-10,43.9,72.0,0.609
10373,57215,0.08238,23.0,2020-07-17,45.0,72.9,0.617
11059,57215,-0.04338,22.0,2020-07-24,26.8,76.7,0.349
11746,57215,0.06814,23.5,2020-07-31,36.4,77.9,0.468
12433,57215,-0.02134,23.0,2020-08-07,36.2,74.6,0.486
13120,57215,3e-05,23.0,2020-08-14,16.2,75.9,0.214
13807,57215,-0.0217,22.5,2020-08-21,27.7,74.8,0.371
14494,57215,-0.02217,22.0,2020-08-28,49.9,74.2,0.672
15181,57215,0.01363,22.3,2020-09-04,33.8,74.3,0.455
15869,57215,-0.03589,21.5,2020-09-11,25.0,71.5,0.349
16557,57215,0.1163,24.0,2020-09-18,36.5,74.1,0.493
17245,57215,-0.10394,21.5,2020-09-25,37.0,71.5,0.518
17934,57215,0.17218,25.2,2020-10-02,34.6,78.6,0.44
18623,57215,0.30992,33.0,2020-10-09,323.4,107.5,3.008
19314,57215,-0.12076,29.0,2020-10-16,60.6,98.0,0.619
20005,57215,-0.0001,29.0,2020-10-23,53.0,95.3,0.557
20696,57215,0.01679,29.5,2020-10-30,50.1,100.5,0.498
21387,57215,0.08481,32.0,2020-11-06,25.5,100.2,0.254
22078,57215,0.09379,35.0,2020-11-13,104.9,107.6,0.975
22769,57215,0.13563,39.75,2020-11-20,257.6,129.2,1.994
23460,57215,0.17002,46.5,2020-11-27,220.9,151.1,1.461
24151,57215,0.05376,49.0,2020-12-04,115.3,158.6,0.727
24843,57215,-0.0964,44.28,2020-12-11,212.2,162.5,1.306
25536,57215,0.05002,46.5,2020-12-18,82.2,155.5,0.529
26229,57215,0.13978,53.0,2020-12-24,143.6,162.5,0.884
26922,57215,0.20787,64.0,2020-12-31,240.0,207.9,1.155
27615,57215,0.00146,64.09,2021-01-08,265.6,210.1,1.264
28308,57215,-0.00142,64.0,2021-01-15,221.0,217.0,1.018
29001,57215,-0.01175,63.25,2021-01-22,206.9,213.2,0.97
29694,57215,-0.15258,53.6,2021-01-29,278.5,199.4,1.397
30387,57215,-0.13831,46.2,2021-02-05,2127.5,167.1,12.73
31080,57215,-0.02591,45.0,2021-02-12,838.5,151.5,5.536
31773,57215,-0.02669,43.8,2021-02-19,421.6,148.7,2.834
32466,57215,-0.04116,42.0,2021-02-26,570.3,137.6,4.144
33159,57215,-0.03558,40.5,2021-03-05,361.7,142.8,2.533
33852,57215,0.01235,41.0,2021-03-12,419.1,133.2,3.147
34545,57215,0.12191,46.0,2021-03-19,389.4,149.0,2.614
35238,57215,-0.08693,42.0,2021-03-26,190.8,141.7,1.347
35931,57215,-0.0298,40.75,2021-04-01,172.5,136.0,1.268
98,54108,0.05565,83.4,2020-04-03,119.9,123.5,0.97
783,54108,0.07559,89.7,2020-04-09,266.3,140.4,1.896
1468,54108,0.03681,93.0,2020-04-17,180.1,133.6,1.349
2153,54108,0.01506,94.4,2020-04-24,146.8,136.7,1.074
2838,54108,0.11231,105.0,2020-05-01,384.0,155.3,2.473
3523,54108,0.03328,108.5,2020-05-07,351.9,166.9,2.108
4208,54108,-0.0323,105.0,2020-05-15,360.1,163.0,2.209
4893,54108,-0.01431,103.5,2020-05-22,281.0,161.6,1.738
5578,54108,-0.06474,96.8,2020-05-29,262.3,148.8,1.763
6263,54108,0.10011,106.5,2020-06-05,336.2,158.5,2.122
6948,54108,-0.03756,102.5,2020-06-12,159.8,158.8,1.006
7633,54108,0.00977,103.5,2020-06-19,117.4,155.6,0.754
8318,54108,-0.0821,95.0,2020-06-26,106.6,149.9,0.711
9003,54108,-1e-05,95.0,2020-07-03,96.0,146.5,0.655
9688,54108,-0.01902,93.2,2020-07-10,92.5,142.8,0.648
10374,54108,0.01933,95.0,2020-07-17,82.1,145.7,0.564
11060,54108,0.01059,96.0,2020-07-24,211.3,146.5,1.442
11747,54108,-0.01478,94.6,2020-07-31,182.6,140.6,1.299
12434,54108,-0.02111,92.6,2020-08-07,87.2,141.6,0.616
13121,54108,-0.05073,87.9,2020-08-14,158.3,134.8,1.174
13808,54108,-0.02161,86.0,2020-08-21,160.5,130.4,1.231
14495,54108,-2e-05,86.0,2020-08-28,249.8,128.3,1.947
15182,54108,-0.06984,80.0,2020-09-04,117.6,124.3,0.945
15870,54108,0.16511,93.2,2020-09-11,640.1,135.0,4.743
16558,54108,-0.02364,91.0,2020-09-18,201.2,137.0,1.468
17246,54108,-0.04402,87.0,2020-09-25,129.4,131.9,0.981
17935,54108,0.01154,88.0,2020-10-02,117.4,132.3,0.888
18624,54108,0.04531,92.0,2020-10-09,116.4,137.9,0.844
19315,54108,-0.01958,90.2,2020-10-16,104.6,138.4,0.755
20006,54108,0.01543,91.6,2020-10-23,76.0,136.4,0.557
20697,54108,-0.08737,83.6,2020-10-30,205.2,132.6,1.547
21388,54108,0.02871,86.0,2020-11-06,66.0,130.6,0.505
22079,54108,1e-05,86.0,2020-11-13,184.4,129.1,1.429
22770,54108,0.04877,90.2,2020-11-20,191.1,133.6,1.43
23461,54108,-0.01103,89.2,2020-11-27,108.2,138.6,0.781
24152,54108,0.00662,89.8,2020-12-04,65.1,137.3,0.474
24844,54108,0.00218,90.0,2020-12-11,240.7,136.4,1.764
25537,54108,-0.02116,88.1,2020-12-18,92.4,134.9,0.684
26230,54108,0.04538,92.1,2020-12-24,58.3,134.8,0.432
26923,54108,0.00979,93.0,2020-12-31,63.4,139.4,0.454
27616,54108,0.01732,94.6,2021-01-08,215.1,144.4,1.489
28309,54108,0.0381,98.2,2021-01-15,249.2,150.8,1.652
29002,54108,0.15064,113.0,2021-01-22,394.5,168.7,2.338
29695,54108,0.01775,115.0,2021-01-29,239.9,172.5,1.391
30388,54108,-0.03041,111.5,2021-02-05,159.3,171.1,0.931
31081,54108,-0.06279,104.5,2021-02-12,171.9,161.3,1.066
31774,54108,0.04306,109.0,2021-02-19,153.6,160.9,0.955
32467,54108,-0.0275,106.0,2021-02-26,133.6,160.7,0.831
33160,54108,-0.00464,105.5,2021-03-05,109.5,160.3,0.683
33853,54108,0.08528,114.5,2021-03-12,524.3,160.4,3.268
34546,54108,6e-05,114.5,2021-03-19,212.3,171.6,1.237
35239,54108,0.0218,117.0,2021-03-26,537.1,176.3,3.047
35932,54108,0.02565,120.0,2021-04-01,281.5,178.1,1.581
99,57216,0.0,3.5,2020-04-03,3.3,29.0,0.113
784,57216,0.07139,3.75,2020-04-09,8.1,30.6,0.264
1469,57216,0.06674,4.0,2020-04-17,3.1,31.8,0.097
2154,57216,-0.0625,3.75,2020-04-24,2.1,31.9,0.066
2839,57216,0.0,3.75,2020-05-01,2.9,31.1,0.092
3524,57216,0.0,3.75,2020-05-07,1.3,31.1,0.042
4209,57216,0.0,3.75,2020-05-15,2.2,31.1,0.071
4894,57216,0.0267,3.85,2020-05-22,1.7,31.2,0.055
