,id,Change,Close,Date,DollarVolume,mktCap,DollarVolume_wt
5493,57200,0.02421,6377.9,2020-05-29,11947.6,12911.1,0.925
6178,57200,0.01616,6480.6,2020-06-05,13082.2,13245.8,0.988
6863,57200,-0.03984,6222.3,2020-06-12,11173.7,13073.6,0.855
7548,57200,0.01885,6339.6,2020-06-19,9606.5,12840.4,0.748
8233,57200,5e-05,6340.4,2020-06-26,10793.2,12922.0,0.835
8918,57200,0.00824,6392.2,2020-07-03,12192.4,12951.9,0.941
9603,57200,0.00155,6402.0,2020-07-10,10667.6,13416.5,0.795
10289,57200,-0.00942,6341.8,2020-07-17,11373.3,13450.0,0.846
10975,57200,0.00259,6358.2,2020-07-24,14282.4,13603.7,1.05
11661,57200,-0.0161,6257.0,2020-07-31,10241.2,13537.1,0.757
12348,57200,0.02474,6411.5,2020-08-07,11048.1,13770.0,0.802
13035,57200,0.01072,6480.6,2020-08-14,11680.1,14202.2,0.822
13722,57200,0.02697,6654.8,2020-08-21,13127.3,14439.8,0.909
14409,57200,-0.01663,6544.2,2020-08-28,15297.0,14373.8,1.064
15096,57200,0.00641,6586.5,2020-09-04,12295.2,14132.4,0.87
15784,57200,0.00616,6626.9,2020-09-11,13133.8,14052.9,0.935
16472,57200,0.00384,6652.4,2020-09-18,16901.7,13992.2,1.208
17160,57200,-0.03617,6411.1,2020-09-25,14686.2,13492.1,1.089
17849,57200,0.0082,6463.3,2020-10-02,14318.9,13437.7,1.066
18538,57200,0.01525,6562.8,2020-10-09,17200.2,13689.0,1.257
19229,57200,0.00575,6600.6,2020-10-16,19512.8,13978.3,1.396
19920,57200,-0.01052,6531.7,2020-10-23,16449.3,13808.9,1.191
20611,57200,-0.01115,6459.5,2020-10-30,14649.2,13563.1,1.08
21302,57200,0.00487,6490.8,2020-11-06,20415.2,13553.2,1.506
21993,57200,0.03991,6749.6,2020-11-13,21334.2,14060.2,1.517
22684,57200,0.04217,7034.0,2020-11-20,25115.4,14553.6,1.726
23375,57200,0.01042,7107.1,2020-11-27,20922.3,14903.3,1.404
24066,57200,0.01319,7201.4,2020-12-04,17349.8,15031.9,1.154
24758,57200,-0.0048,7167.6,2020-12-11,19847.6,15234.8,1.303
25451,57200,0.01242,7256.9,2020-12-18,18242.5,15196.9,1.2
26144,57200,0.0133,7353.6,2020-12-24,13613.5,15388.8,0.885
26837,57200,0.02505,7537.5,2020-12-31,12738.8,16311.5,0.781
27530,57200,0.00255,7556.6,2021-01-08,29341.3,16547.6,1.773
28223,57200,0.00711,7610.6,2021-01-15,28673.4,16770.9,1.71
28916,57200,0.02828,7826.4,2021-01-22,33318.4,17102.6,1.948
29609,57200,-0.02166,7656.1,2021-01-29,34253.1,17415.3,1.967
30302,57200,0.02667,7860.4,2021-02-05,37221.7,17428.4,2.136
30995,57200,0.01618,7988.0,2021-02-12,25972.5,17655.9,1.471
31688,57200,0.00202,8002.5,2021-02-19,28350.6,17870.3,1.586
32381,57200,-0.01156,7910.0,2021-02-26,28951.8,17515.1,1.653
33074,57200,0.01483,8026.6,2021-03-05,24176.1,17507.7,1.381
33767,57200,0.01911,8180.5,2021-03-12,19214.9,17583.6,1.093
34460,57200,-0.00033,8177.7,2021-03-19,22060.8,17806.6,1.239
35153,57200,0.01148,8272.0,2021-03-26,19579.9,17717.3,1.105
35846,57200,-0.00655,8217.4,2021-04-01,15465.9,17657.6,0.876
14,58100,-0.01192,1751.1,2020-04-03,4172.4,1471.5,2.835
699,58100,0.10583,1936.4,2020-04-09,6836.6,1580.6,4.325
1384,58100,0.04037,2014.7,2020-04-17,7450.8,1745.4,4.269
2069,58100,0.05965,2134.8,2020-04-24,10742.0,1846.4,5.818
2754,58100,-0.00492,2124.3,2020-05-01,12361.6,1939.0,6.375
3439,58100,0.03056,2189.4,2020-05-07,7539.3,1940.1,3.886
4124,58100,0.03265,2260.9,2020-05-15,10004.5,1986.3,5.037
4809,58100,0.04288,2358.2,2020-05-22,9554.2,2087.1,4.578
5494,58100,0.00509,2370.2,2020-05-29,7761.1,2124.8,3.653
6179,58100,-0.01535,2333.9,2020-06-05,12619.4,2230.5,5.658
6864,58100,0.02465,2391.4,2020-06-12,11480.3,2272.5,5.052
7549,58100,0.00329,2399.5,2020-06-19,10601.5,2298.5,4.612
8234,58100,-0.00075,2397.8,2020-06-26,11012.3,2351.9,4.682
8919,58100,0.01461,2432.7,2020-07-03,12045.2,2411.5,4.995
9604,58100,0.10607,2691.0,2020-07-10,15253.5,2557.0,5.965
10290,58100,0.02123,2748.1,2020-07-17,10283.0,2848.5,3.61
10976,58100,0.07934,2966.2,2020-07-24,10588.2,3083.8,3.434
11662,58100,0.00946,2994.5,2020-07-31,8817.6,3243.7,2.718
